key,url,archive_url,author,publisher,published_at,retrieved_at_utc,type,role,confidence,quoted,notes
S-001,local:/mnt/data/DEEP_DIVE_RESEARCH.md,[archive-failed: automated archive submission unavailable in this environment],Requester,DEEP_DIVE project,2026-07-20,2026-07-20T13:38:00Z,research-brief,canonical,high,no,Research contract supplied by the requester.
S-002,https://www.litellm.ai/,[archive-failed: automated archive submission unavailable in this environment],LiteLLM,LiteLLM,undated; retrieved 2026-07-20,2026-07-20T13:38:00Z,vendor-page,canonical,high,no,"Product surface, usage claims, open-source and enterprise packaging."
S-003,https://docs.litellm.ai/docs/enterprise,[archive-failed: automated archive submission unavailable in this environment],LiteLLM,LiteLLM Docs,updated 2026-06,2026-07-20T13:38:00Z,vendor-doc,canonical,high,no,"Enterprise feature boundary, deployment, support and version-support policy."
S-004,https://www.litellm.ai/enterprise,[archive-failed: automated archive submission unavailable in this environment],LiteLLM,LiteLLM,undated; retrieved 2026-07-20,2026-07-20T13:38:00Z,vendor-page,supporting,high,no,Enterprise positioning and CTA.
S-005,https://github.com/BerriAI/litellm,[archive-failed: automated archive submission unavailable in this environment],BerriAI contributors,GitHub,ongoing,2026-07-20T13:38:00Z,github,canonical,high,no,"Repository, contribution and adoption surface."
S-006,https://github.com/BerriAI/litellm/blob/litellm_internal_staging/LICENSE,[archive-failed: automated archive submission unavailable in this environment],Berri AI,GitHub,2023–2026,2026-07-20T13:38:00Z,license,canonical,high,no,MIT outside the enterprise directory; enterprise carve-out.
S-007,https://github.com/BerriAI/litellm/blob/litellm_internal_staging/enterprise/LICENSE,[archive-failed: automated archive submission unavailable in this environment],Berri AI,GitHub,2024–2026,2026-07-20T13:38:00Z,license,canonical,high,no,Commercial production-use terms for enterprise code.
S-008,https://github.com/BerriAI/litellm/blob/litellm_internal_staging/enterprise/README.md,[archive-failed: automated archive submission unavailable in this environment],Berri AI,GitHub,2024–2026,2026-07-20T13:38:00Z,github,canonical,high,no,Enterprise directory notice and sales CTA.
S-009,https://aws.amazon.com/marketplace/pp/prodview-gdm3gswgjhgjo,[archive-failed: automated archive submission unavailable in this environment],LiteLLM,AWS Marketplace,undated; retrieved 2026-07-20,2026-07-20T13:38:00Z,marketplace,supporting,high,no,Private-offer procurement and contract pricing.
S-010,https://www.ycombinator.com/companies/litellm,[archive-failed: automated archive submission unavailable in this environment],Y Combinator / LiteLLM,Y Combinator,updated 2026,2026-07-20T13:38:00Z,company-profile,supporting,medium,no,"Company stage, funding and product description."
S-011,https://jobs.ashbyhq.com/litellm/62213705-30b3-4988-8461-55c975fc2eac,[archive-failed: automated archive submission unavailable in this environment],LiteLLM,Ashby,2026,2026-07-20T13:38:00Z,job-listing,external-context,medium,no,Founding reliability role; self-reported scale and ARR.
S-012,https://jobs.ashbyhq.com/litellm/8d6724de-8d9f-4db3-bf6c-4e44da296bc3,[archive-failed: automated archive submission unavailable in this environment],LiteLLM,Ashby,2026,2026-07-20T13:38:00Z,job-listing,external-context,medium,no,Account Executive role indicating enterprise-sales buildout.
S-013,https://www.ycombinator.com/companies/litellm/jobs/jqpzzbK-backend-mcp-engineer,[archive-failed: automated archive submission unavailable in this environment],LiteLLM,Y Combinator,2026,2026-07-20T13:38:00Z,job-listing,external-context,medium,no,Dedicated MCP engineering investment; self-reported company metrics.
