key,url,retrieved_at_utc,archive_status,local_capture,notes
S-001,local:/mnt/data/DEEP_DIVE_RESEARCH.md,2026-07-20T13:38:00Z,failed-unavailable,,No raw page copy stored; source metadata and public URL retained.
S-002,https://www.litellm.ai/,2026-07-20T13:38:00Z,failed-unavailable,,No raw page copy stored; source metadata and public URL retained.
S-003,https://docs.litellm.ai/docs/enterprise,2026-07-20T13:38:00Z,failed-unavailable,,No raw page copy stored; source metadata and public URL retained.
S-004,https://www.litellm.ai/enterprise,2026-07-20T13:38:00Z,failed-unavailable,,No raw page copy stored; source metadata and public URL retained.
S-005,https://github.com/BerriAI/litellm,2026-07-20T13:38:00Z,failed-unavailable,,No raw page copy stored; source metadata and public URL retained.
S-006,https://github.com/BerriAI/litellm/blob/litellm_internal_staging/LICENSE,2026-07-20T13:38:00Z,failed-unavailable,,No raw page copy stored; source metadata and public URL retained.
S-007,https://github.com/BerriAI/litellm/blob/litellm_internal_staging/enterprise/LICENSE,2026-07-20T13:38:00Z,failed-unavailable,,No raw page copy stored; source metadata and public URL retained.
S-008,https://github.com/BerriAI/litellm/blob/litellm_internal_staging/enterprise/README.md,2026-07-20T13:38:00Z,failed-unavailable,,No raw page copy stored; source metadata and public URL retained.
S-009,https://aws.amazon.com/marketplace/pp/prodview-gdm3gswgjhgjo,2026-07-20T13:38:00Z,failed-unavailable,,No raw page copy stored; source metadata and public URL retained.
S-010,https://www.ycombinator.com/companies/litellm,2026-07-20T13:38:00Z,failed-unavailable,,No raw page copy stored; source metadata and public URL retained.
S-011,https://jobs.ashbyhq.com/litellm/62213705-30b3-4988-8461-55c975fc2eac,2026-07-20T13:38:00Z,failed-unavailable,,No raw page copy stored; source metadata and public URL retained.
S-012,https://jobs.ashbyhq.com/litellm/8d6724de-8d9f-4db3-bf6c-4e44da296bc3,2026-07-20T13:38:00Z,failed-unavailable,,No raw page copy stored; source metadata and public URL retained.
S-013,https://www.ycombinator.com/companies/litellm/jobs/jqpzzbK-backend-mcp-engineer,2026-07-20T13:38:00Z,failed-unavailable,,No raw page copy stored; source metadata and public URL retained.
S-014,https://jobs.ashbyhq.com/litellm/8f1fe19b-7f83-4266-a04f-782dedb2c170,2026-07-20T13:38:00Z,failed-unavailable,,No raw page copy stored; source metadata and public URL retained.
S-015,https://jobs.ashbyhq.com/litellm/f7e671ef-8c36-4e1a-bfce-e7ed79b85c58,2026-07-20T13:38:00Z,failed-unavailable,,No raw page copy stored; source metadata and public URL retained.
S-016,https://github.com/BerriAI/litellm/issues/24518,2026-07-20T13:38:00Z,failed-unavailable,,No raw page copy stored; source metadata and public URL retained.
S-017,https://snyk.io/fr/blog/poisoned-security-scanner-backdooring-litellm/,2026-07-20T13:38:00Z,failed-unavailable,,No raw page copy stored; source metadata and public URL retained.
S-018,https://www.theregister.com/security/2026/03/24/litellm-infected-with-credential-stealing-code-via-trivy/5223422,2026-07-20T13:38:00Z,failed-unavailable,,No raw page copy stored; source metadata and public URL retained.
S-019,https://github.com/BerriAI/litellm/issues/14413,2026-07-20T13:38:00Z,failed-unavailable,,No raw page copy stored; source metadata and public URL retained.
S-020,https://github.com/BerriAI/litellm/issues/13642,2026-07-20T13:38:00Z,failed-unavailable,,No raw page copy stored; source metadata and public URL retained.
S-021,https://github.com/BerriAI/litellm/issues/13597,2026-07-20T13:38:00Z,failed-unavailable,,No raw page copy stored; source metadata and public URL retained.
S-022,https://github.com/BerriAI/litellm/issues/11552,2026-07-20T13:38:00Z,failed-unavailable,,No raw page copy stored; source metadata and public URL retained.
S-023,https://github.com/BerriAI/litellm/issues/16520,2026-07-20T13:38:00Z,failed-unavailable,,No raw page copy stored; source metadata and public URL retained.
